region,cell_type,process,n_ft,n_sham,n_genes,mean_ft,mean_sham,difference,hedges_g,p_permutation,genes_present,q_bh
dorsal_DG,InhibNeuron,maturation,4,3,6,0.35263375064594144,0.3615530725532343,-0.008919321907292888,-0.11829585144078525,0.7714285714285715,Dcx;Neurod1;Calb2;Calb1;Prox1;Rbfox3,0.9857142857142857
dorsal_DG,Microglia1,maturation,3,5,6,0.08629284592472423,0.06548162063259429,0.020811225292129948,0.577967337391795,0.42857142857142855,Dcx;Neurod1;Calb2;Calb1;Prox1;Rbfox3,0.8697478991596638
dorsal_DG,Microglia2,maturation,4,5,6,0.047987003571291556,0.0,0.047987003571291556,1.06167041615002,0.047619047619047616,Dcx;Neurod1;Calb2;Calb1;Prox1;Rbfox3,0.5914285714285714
dorsal_DG,Mossy,maturation,4,3,6,0.08678543332149921,0.03828488694572666,0.04850054637577255,0.9336002744819929,0.2571428571428571,Dcx;Neurod1;Calb2;Calb1;Prox1;Rbfox3,0.8697478991596638
dorsal_DG,Oligodend1,maturation,3,5,6,0.1388655000507585,0.18953041846760285,-0.05066491841684434,-0.6822515839678079,0.30357142857142855,Dcx;Neurod1;Calb2;Calb1;Prox1;Rbfox3,0.8697478991596638
dorsal_DG,Oligodend2,maturation,4,5,6,0.09781485362028333,0.14147081721165514,-0.043655963591371805,-0.48767421760552554,0.5158730158730159,Dcx;Neurod1;Calb2;Calb1;Prox1;Rbfox3,0.9126984126984128
dorsal_DG,OPC,maturation,4,5,6,0.12105241294871992,0.14199127466565759,-0.020938861716937665,-0.22419540355308681,0.7142857142857143,Dcx;Neurod1;Calb2;Calb1;Prox1;Rbfox3,0.9727443609022557
dorsal_DG,AstroSub1,integration,4,4,6,0.8541766415959755,1.0889513960262958,-0.23477475443032025,-1.045697668837066,0.17142857142857143,Syp;Syn1;Dlg4;Gria1;Gria2;Grin1,0.825249169435216
dorsal_DG,BergGlia,integration,3,4,6,0.4600902920040846,0.7239184764154543,-0.2638281844113697,-0.7739414843693737,0.2857142857142857,Syp;Syn1;Dlg4;Gria1;Gria2;Grin1,0.8697478991596638
dorsal_DG,Endothelial,integration,3,4,6,0.569709305100914,0.7194048044758896,-0.14969549937497562,-0.994150381081637,0.17142857142857143,Syp;Syn1;Dlg4;Gria1;Gria2;Grin1,0.825249169435216
dorsal_DG,ExcitNeuron,integration,3,4,6,1.5997665900096816,1.902602756562622,-0.30283616655294043,-1.0793401812574819,0.05714285714285714,Syp;Syn1;Dlg4;Gria1;Gria2;Grin1,0.5914285714285714
dorsal_DG,Granule,integration,4,4,6,1.4580936828977975,1.48789355222482,-0.0297998693270225,-0.09079025613201769,0.9142857142857143,Syp;Syn1;Dlg4;Gria1;Gria2;Grin1,0.9857142857142857
dorsal_DG,InhibNeuron,integration,4,3,6,1.7700839236480719,1.8469656771157166,-0.0768817534676447,-0.695848344591538,0.34285714285714286,Syp;Syn1;Dlg4;Gria1;Gria2;Grin1,0.8697478991596638
dorsal_DG,Microglia1,integration,3,5,6,0.37507679527146937,0.6119421103496273,-0.23686531507815795,-1.330454000378822,0.08928571428571429,Syp;Syn1;Dlg4;Gria1;Gria2;Grin1,0.7108516483516484
dorsal_DG,Microglia2,integration,4,5,6,0.5310565189575223,0.6306494508203822,-0.09959293186285989,-0.5004360251751329,0.40476190476190477,Syp;Syn1;Dlg4;Gria1;Gria2;Grin1,0.8697478991596638
dorsal_DG,Mossy,integration,4,3,6,0.6545101166961054,0.6456352122846417,0.008874904411463658,0.05163115311340899,0.9142857142857143,Syp;Syn1;Dlg4;Gria1;Gria2;Grin1,0.9857142857142857
dorsal_DG,Oligodend1,integration,3,5,6,0.5120517550892367,0.9313906808537087,-0.41933892576447196,-3.0150072057486264,0.017857142857142856,Syp;Syn1;Dlg4;Gria1;Gria2;Grin1,0.5914285714285714
dorsal_DG,Oligodend2,integration,4,5,6,0.5605582889761753,0.6850703788167875,-0.12451208984061213,-0.5398149969004199,0.3968253968253968,Syp;Syn1;Dlg4;Gria1;Gria2;Grin1,0.8697478991596638
dorsal_DG,OPC,integration,4,5,6,0.8373682855514601,1.061561663381457,-0.22419337782999693,-1.0651133015283318,0.1349206349206349,Syp;Syn1;Dlg4;Gria1;Gria2;Grin1,0.7392857142857142
dorsal_DG,AstroSub1,activity,4,4,5,0.9296260779968033,0.7857369553526734,0.1438891226441299,0.5872574913363886,0.22857142857142856,Arc;Egr1;Fos;Bdnf;Ntrk2,0.8697478991596638
dorsal_DG,BergGlia,activity,3,4,5,0.6914379086809576,0.6773959116499897,0.014041997030967868,0.0399913922122999,0.9142857142857143,Arc;Egr1;Fos;Bdnf;Ntrk2,0.9857142857142857
dorsal_DG,Endothelial,activity,3,4,5,1.0601487410382096,0.9000667945307275,0.1600819465074821,1.041380623596348,0.14285714285714285,Arc;Egr1;Fos;Bdnf;Ntrk2,0.7392857142857142
dorsal_DG,ExcitNeuron,activity,3,4,5,0.8845959591354856,0.7561460686932439,0.12844989044224175,0.5012670050499575,0.5142857142857142,Arc;Egr1;Fos;Bdnf;Ntrk2,0.9126984126984128
dorsal_DG,Granule,activity,4,4,5,0.5302312981880186,0.6800595355649066,-0.149828237376888,-0.4849327306050031,0.5428571428571428,Arc;Egr1;Fos;Bdnf;Ntrk2,0.9199999999999999
dorsal_DG,InhibNeuron,activity,4,3,5,0.7328713912124865,0.5475215958089598,0.1853497954035267,1.7570283190995075,0.05714285714285714,Arc;Egr1;Fos;Bdnf;Ntrk2,0.5914285714285714
dorsal_DG,Microglia1,activity,3,5,5,0.8284586459814672,0.8386610158509764,-0.010202369869509176,-0.028525432912260295,0.9821428571428571,Arc;Egr1;Fos;Bdnf;Ntrk2,0.9985994397759103
dorsal_DG,Microglia2,activity,4,5,5,0.8304351794351176,0.9157767042784487,-0.08534152484333113,-0.2924846971786194,0.626984126984127,Arc;Egr1;Fos;Bdnf;Ntrk2,0.9293877551020407
dorsal_DG,Mossy,activity,4,3,5,1.0779991368028672,1.042958734001308,0.03504040280155918,0.1839691312593421,0.8285714285714286,Arc;Egr1;Fos;Bdnf;Ntrk2,0.9857142857142857
dorsal_DG,Oligodend1,activity,3,5,5,0.905648044931502,0.5520918156801196,0.3535562292513824,2.94068626985251,0.017857142857142856,Arc;Egr1;Fos;Bdnf;Ntrk2,0.5914285714285714
dorsal_DG,Oligodend2,activity,4,5,5,1.5261844544371683,1.4381760302355935,0.08800842420157484,0.6600851690576925,0.30952380952380953,Arc;Egr1;Fos;Bdnf;Ntrk2,0.8697478991596638
dorsal_DG,OPC,activity,4,5,5,1.0983336276722935,0.9774272550501042,0.12090637262218928,0.6200369347131128,0.36507936507936506,Arc;Egr1;Fos;Bdnf;Ntrk2,0.8697478991596638
dorsal_DG,AstroSub1,survival,4,4,6,0.10376975761191386,0.202568052613595,-0.09879829500168115,-0.9725006929168768,0.2,Bcl2;Bcl2l1;Akt1;Igf1;Bax;Casp3,0.8448979591836736
dorsal_DG,BergGlia,survival,3,4,6,0.10462123819260778,0.07656703117522032,0.028054207017387464,0.09956617319971321,0.8571428571428571,Bcl2;Bcl2l1;Akt1;Igf1;Bax;Casp3,0.9857142857142857
dorsal_DG,Endothelial,survival,3,4,6,0.11606498638978723,0.13962720856773259,-0.02356222217794536,-0.2922987655866761,0.6857142857142857,Bcl2;Bcl2l1;Akt1;Igf1;Bax;Casp3,0.965597667638484
dorsal_DG,ExcitNeuron,survival,3,4,6,0.0743109083763621,0.0981427070301916,-0.023831798653829492,-0.17457046940953966,0.7714285714285715,Bcl2;Bcl2l1;Akt1;Igf1;Bax;Casp3,0.9857142857142857
dorsal_DG,Granule,survival,4,4,6,0.02460734284539611,0.1457813027098038,-0.12117395986440768,-1.2334965649043779,0.14285714285714285,Bcl2;Bcl2l1;Akt1;Igf1;Bax;Casp3,0.7392857142857142
dorsal_DG,InhibNeuron,survival,4,3,6,0.027355633420736724,0.11442557062724969,-0.08706993720651296,-1.3114386232678539,0.17142857142857143,Bcl2;Bcl2l1;Akt1;Igf1;Bax;Casp3,0.825249169435216
dorsal_DG,Microglia1,survival,3,5,6,0.15548307092151936,0.14504138114388662,0.01044168977763274,0.09970705223576876,0.9285714285714286,Bcl2;Bcl2l1;Akt1;Igf1;Bax;Casp3,0.9907952871870398
dorsal_DG,Microglia2,survival,4,5,6,0.2653197950263541,0.1688745613111728,0.09644523371518132,0.7074696535964833,0.2619047619047619,Bcl2;Bcl2l1;Akt1;Igf1;Bax;Casp3,0.8697478991596638
dorsal_DG,Mossy,survival,4,3,6,0.08805198600578183,0.06391341748553307,0.02413856852024876,0.19149087025678524,0.8,Bcl2;Bcl2l1;Akt1;Igf1;Bax;Casp3,0.9857142857142857
dorsal_DG,Oligodend1,survival,3,5,6,0.1144788358638842,0.26390550880418717,-0.14942667294030298,-1.3089641662743294,0.03571428571428571,Bcl2;Bcl2l1;Akt1;Igf1;Bax;Casp3,0.5914285714285714
dorsal_DG,Oligodend2,survival,4,5,6,0.19595059560504377,0.13664255620350232,0.059308039401541446,0.7901536453866038,0.2222222222222222,Bcl2;Bcl2l1;Akt1;Igf1;Bax;Casp3,0.8697478991596638
dorsal_DG,OPC,survival,4,5,6,-0.018930870219502325,0.029778475160013952,-0.04870934537951628,-0.37450467715940233,0.5158730158730159,Bcl2;Bcl2l1;Akt1;Igf1;Bax;Casp3,0.9126984126984128
dorsal_DG,AstroSub1,niche,4,4,8,1.1915998146207307,0.8359638390345048,0.35563597558622595,1.9082927295833956,0.02857142857142857,Aif1;Cx3cr1;Trem2;Tyrobp;C1qa;C1qb;Gfap;S100b,0.5914285714285714
dorsal_DG,BergGlia,niche,3,4,8,1.1345585162347263,0.8023460452475752,0.332212470987151,0.8405566418818033,0.2571428571428571,Aif1;Cx3cr1;Trem2;Tyrobp;C1qa;C1qb;Gfap;S100b,0.8697478991596638
dorsal_DG,Endothelial,niche,3,4,8,0.5085008052864768,0.41377986834669844,0.09472093693977834,0.4087721770104261,0.5714285714285714,Aif1;Cx3cr1;Trem2;Tyrobp;C1qa;C1qb;Gfap;S100b,0.9199999999999999
dorsal_DG,ExcitNeuron,niche,3,4,8,0.4326137466929813,0.40464438656689283,0.02796936012608847,0.282375453853686,0.6857142857142857,Aif1;Cx3cr1;Trem2;Tyrobp;C1qa;C1qb;Gfap;S100b,0.965597667638484
dorsal_DG,Granule,niche,4,4,8,0.5432634536222669,0.44778263688123,0.09548081674103692,0.520261517498953,0.45714285714285713,Aif1;Cx3cr1;Trem2;Tyrobp;C1qa;C1qb;Gfap;S100b,0.8737012987012988
dorsal_DG,InhibNeuron,niche,4,3,8,0.48426183772810516,0.3425967297476757,0.14166510798042947,1.064055577410722,0.2,Aif1;Cx3cr1;Trem2;Tyrobp;C1qa;C1qb;Gfap;S100b,0.8448979591836736
dorsal_DG,Microglia1,niche,3,5,8,2.1357776689671986,2.0461084278005557,0.08966924116664288,0.6467289068593775,0.375,Aif1;Cx3cr1;Trem2;Tyrobp;C1qa;C1qb;Gfap;S100b,0.8697478991596638
