parameter,outcome,base_n,S1,ST
tx_survival,delta_extent,128,-0.05307667622751344,0.026758781978549008
tx_survival,delta_extent,256,-0.020771202301965497,0.026575052154638488
tx_survival,delta_extent,512,-0.0159658305377679,0.027378502308311424
tx_survival,delta_extent,2048,0.010577377988659209,0.022584951143197963
k_qa,delta_fni,128,-0.37363740297975334,0.0827096453299279
k_qa,delta_fni,256,-0.20333731847215009,0.0863678020427002
k_qa,delta_fni,512,-0.08135322213612128,0.0793387376477176
k_qa,delta_fni,2048,0.003208206677271175,0.06564532620375728
k_aq,delta_fni,128,-0.13864818588613836,0.006679143634358854
k_aq,delta_fni,256,-0.036074300628711864,0.009877090877114813
k_aq,delta_fni,512,-0.0008758174021215037,0.012152373993447473
k_aq,delta_fni,2048,-0.0124259660279884,0.013481239342857667
b_a,delta_fni,128,-0.22332159519107675,0.08913374559378985
b_a,delta_fni,256,-0.10357117857198883,0.09444288641599477
b_a,delta_fni,512,-0.014094813598591882,0.10053867559607578
b_a,delta_fni,2048,0.049555199378989334,0.09310156635988803
d_a,delta_fni,128,-0.18334107383464127,0.018969681110754075
d_a,delta_fni,256,-0.07056559786766159,0.021066775590759965
d_a,delta_fni,512,-0.008995516590281971,0.01676693974382277
d_a,delta_fni,2048,-0.018610842344838563,0.015027223163663912
b_p,delta_fni,128,-0.1654670694618976,0.22347530537932797
b_p,delta_fni,256,-0.1994627467811565,0.3005875295432529
b_p,delta_fni,512,-0.09886462636794557,0.2857032584297014
b_p,delta_fni,2048,-0.028000099189059213,0.2367341500465114
k_pn,delta_fni,128,-0.16235978125589656,0.0412253969539238
k_pn,delta_fni,256,-0.08710020933158269,0.042589858421258106
k_pn,delta_fni,512,-0.1534009800133751,0.12753488869728405
k_pn,delta_fni,2048,-0.025201411632403303,0.10211945312290899
d_p,delta_fni,128,0.015893792559001474,0.06916813080098527
d_p,delta_fni,256,0.07922360250275018,0.07508943234933303
d_p,delta_fni,512,0.011131380348923803,0.1302434223777532
d_p,delta_fni,2048,0.0361360568190211,0.16875192950996443
k_nm,delta_fni,128,-0.19625695677481625,0.041335087163788295
k_nm,delta_fni,256,-0.09146956743817425,0.04332370664162296
k_nm,delta_fni,512,-0.0027935230182822846,0.03735120154443437
k_nm,delta_fni,2048,0.024108871353293315,0.028963497788647034
d_n,delta_fni,128,-0.14151454113223672,0.008193718065483203
d_n,delta_fni,256,-0.029660545040661512,0.009620165129711263
d_n,delta_fni,512,0.021806243149033455,0.010950649114682022
d_n,delta_fni,2048,0.0017013658104103602,0.00879406350592561
k_mg,delta_fni,128,-0.08994412240978611,0.061585236073024775
k_mg,delta_fni,256,-0.11427490392141038,0.1171605722560707
k_mg,delta_fni,512,-0.03056072373763885,0.10586262799525091
k_mg,delta_fni,2048,0.0658896667562251,0.09489833766547412
d_m,delta_fni,128,-0.10946069876969422,0.005543565308446629
d_m,delta_fni,256,-0.04020046887302886,0.006753339166923585
d_m,delta_fni,512,-0.010431443767809023,0.006603557369059435
d_m,delta_fni,2048,-0.005406697964057461,0.006172151128335611
d_g,delta_fni,128,-0.1358369151727643,0.0017816677195284895
d_g,delta_fni,256,-0.04473026626699439,0.0020145732923308258
d_g,delta_fni,512,-0.005447475491878073,0.0015968873943915127
d_g,delta_fni,2048,-0.014784224837567583,0.0018393334826350455
eff_mean,delta_fni,128,-0.08648797233588423,0.06636738311465501
eff_mean,delta_fni,256,-0.13057075540068475,0.13975076135046344
eff_mean,delta_fni,512,-0.040783515417218474,0.16136078043664973
eff_mean,delta_fni,2048,0.01686769253605247,0.11181520313898506
eff_cv,delta_fni,128,-0.1429657917889111,0.0
eff_cv,delta_fni,256,-0.04735542971970119,0.0
eff_cv,delta_fni,512,-0.005248043642928524,0.0
eff_cv,delta_fni,2048,-0.007740316978647188,0.0
tx_activation,delta_fni,128,-0.15475820985535815,0.009305932184196595
tx_activation,delta_fni,256,-0.07400495209254343,0.013065888579002845
tx_activation,delta_fni,512,-0.006022769831884878,0.013630183325129554
