dataset,contrast,split,first_half_g,second_half_g
GSE309750,HC,62,1.765674427079353,1.5280708796350395
GSE309750,HC,63,1.7244084960587602,1.4353620749550333
GSE309750,HC,64,2.225911711771799,1.1652056589513264
GSE309750,HC,65,1.7915965429452598,1.4702745544945508
GSE309750,HC,66,1.9911386066727215,1.3490090974077555
GSE309750,HC,67,2.1160557147220644,1.285760866655026
GSE309750,HC,68,1.193132897488579,2.2789901458624193
GSE309750,HC,69,1.7332651533414558,1.5758666367079626
GSE309750,HC,70,1.6050972386597684,1.7907849414788652
GSE309750,HC,71,1.9672555032150343,1.3927342748704523
GSE309750,HC,72,1.9079748511238146,1.172729654934252
GSE309750,HC,73,1.5440198790857877,1.8461570419365716
GSE309750,HC,74,1.6751672727118632,1.51118306732249
GSE309750,HC,75,1.7182273793907588,1.4312115614352356
GSE309750,HC,76,1.9451732648830788,1.45080858645376
GSE309750,HC,77,1.9077708892954746,1.0868228233134154
GSE309750,HC,78,2.282822864903189,1.0939991656759143
GSE309750,HC,79,1.2523910636891118,1.8724488257490028
GSE309750,HC,80,1.3252947825983217,2.0977208486156376
GSE309750,HC,81,1.383821500023041,1.7816380722267262
GSE309750,HC,82,1.9017048095351519,1.4374228726910923
GSE309750,HC,83,1.7309138234172796,1.4819757546044565
GSE309750,HC,84,2.3326714119983096,1.2162922881312999
GSE309750,HC,85,2.2468147920246917,1.2231004544161646
GSE309750,HC,86,2.059596956037273,1.1458332991656164
GSE309750,HC,87,1.50144308718272,1.7721911465014506
GSE309750,HC,88,1.6154751105086356,1.7462764864056575
GSE309750,HC,89,1.908388184799758,1.3144296994499194
GSE309750,HC,90,1.6600367923022403,1.6688944796514544
GSE309750,HC,91,1.3743374880417087,1.8296102328786257
GSE309750,HC,92,1.5179253634529095,1.6975311393375687
GSE309750,HC,93,1.4693628369258387,1.7502617142327295
GSE309750,HC,94,1.6822436152841618,1.6634101408423636
GSE309750,HC,95,1.6891948190209791,1.5392246648426922
GSE309750,HC,96,1.2077008894511994,2.123222502837834
GSE309750,HC,97,2.119664152390166,1.3657280153917926
GSE309750,HC,98,1.4850522752995599,1.8563153373820893
GSE309750,HC,99,1.6756457681916923,1.7351406862893506
GSE309750,HC,100,1.5316409194066467,1.7969084921141105
GSE309750,HC,101,1.5822494855072784,1.6910727504246073
GSE309750,HC,102,1.50678705900549,1.9159209551777476
GSE309750,HC,103,1.138024133173141,2.1723476509721182
GSE309750,HC,104,1.6313454609904872,1.626266800142796
GSE309750,HC,105,1.182336976732395,2.147092371907717
GSE309750,HC,106,1.6431489392633922,1.6824991500015765
GSE309750,HC,107,1.4527044755954939,1.871676292310176
GSE309750,HC,108,1.366258215348373,1.8988887370714516
GSE309750,HC,109,1.9164851519962904,1.552514001065041
GSE309750,HC,110,1.3450274187130058,1.9434651238182468
GSE309750,HC,111,1.7190401829858477,1.5856240371446204
GSE309750,HC,112,1.8773344191187051,1.4620592734821518
GSE309750,HC,113,1.3469163676530622,1.9647375041574684
GSE309750,HC,114,1.4301997344403061,1.757864866848133
