dataset,contrast,gene,effect,statistic,p_value,q_value,within_contrast_rank
GSE222756,dorDG_FT_vs_Control,Zfp385d,-0.5094919539599174,-3.4968947665779724,0.0004707074750932287,0.0030168173706653758,2063.0
GSE222756,dorDG_FT_vs_Control,Zfp423,0.6641386272921799,6.673128591652164,2.50406792082894e-11,1.089104804250008e-09,304.0
GSE222756,dorDG_FT_vs_Control,Zfp428,0.8606646983317988,4.831900329782271,1.352359580834304e-06,1.9779754842689346e-05,904.0
GSE222756,dorDG_FT_vs_Control,Zfp444,0.5731464852313766,3.8410995589790655,0.00012248442063778173,0.0009685939053066687,1672.0
GSE222756,dorDG_FT_vs_Control,Zfp451,-0.37981658688920356,-3.194438398893278,0.0014010318168531184,0.007374380048738826,2512.0
GSE222756,dorDG_FT_vs_Control,Zfp46,-0.32746272410721733,-3.2444610787788046,0.001176730976503158,0.006408046528552206,2428.0
GSE222756,dorDG_FT_vs_Control,Zfp483,-0.46566302378750085,-3.514195294616832,0.0004410883950973835,0.0028588582156752963,2040.0
GSE222756,dorDG_FT_vs_Control,Zfp507,-0.5736311394659609,-2.8400545338041217,0.004510582214306784,0.019319377401219404,3087.0
GSE222756,dorDG_FT_vs_Control,Zfp511,0.3582415651297299,2.8259453858819605,0.004714130080283591,0.019984042296091582,3119.0
GSE222756,dorDG_FT_vs_Control,Zfp524,1.1389618258032639,5.2304227514560955,1.6912283701839077e-07,3.2502066149086668e-06,688.0
GSE222756,dorDG_FT_vs_Control,Zfp53,-0.729858604538522,-4.613125426521719,3.96658772363351e-06,5.0477596613938664e-05,1039.0
GSE222756,dorDG_FT_vs_Control,Zfp532,-0.23760127131689995,-2.498994251383638,0.012454633136724897,0.04346796455632816,3788.0
GSE222756,dorDG_FT_vs_Control,Zfp575,1.8607742456031526,5.558724721671214,2.7175290669873793e-08,6.314792499772783e-07,569.0
GSE222756,dorDG_FT_vs_Control,Zfp597,-0.41781630710280476,-2.8131203611729756,0.004906328266612805,0.02067287200164261,3138.0
GSE222756,dorDG_FT_vs_Control,Zfp608,-0.4415363115181644,-3.6899067416551548,0.0002243362769762415,0.0016043429665524723,1848.0
GSE222756,dorDG_FT_vs_Control,Zfp609,0.32429211369238864,2.808896654391634,0.004971160166720736,0.02091272024320126,3143.0
GSE222756,dorDG_FT_vs_Control,Zfp637,0.193928149598888,2.9204257758088836,0.0034955345291823293,0.015757912562171413,2933.0
GSE222756,dorDG_FT_vs_Control,Zfp639,-0.614972194416886,-4.576464241938156,4.729004959787563e-06,5.884385539592969e-05,1062.0
GSE222756,dorDG_FT_vs_Control,Zfp644,-0.272273223916571,-2.9972814024557715,0.002723991389852217,0.012799081079113723,2814.0
GSE222756,dorDG_FT_vs_Control,Zfp655,-0.4333394842154757,-3.7101506196233967,0.00020713597549000925,0.001499201306441316,1826.0
GSE222756,dorDG_FT_vs_Control,Zfp692,-1.5134730995198282,-10.324024690761021,5.487362693630251e-25,1.6123091007817595e-22,45.0
GSE222756,dorDG_FT_vs_Control,Zfp706,0.29319230618587444,3.015965704365323,0.002561622316733691,0.012126663183620788,2793.0
GSE222756,dorDG_FT_vs_Control,Zfp709l1,-0.6194348717257286,-3.758637052196193,0.000170841450223448,0.0012776389450534103,1768.0
GSE222756,dorDG_FT_vs_Control,Zfp763,-0.3809736549400059,-3.9890920157607614,6.63266910820826e-05,0.0005803914688863641,1511.0
GSE222756,dorDG_FT_vs_Control,Zfp775,0.3963522542927655,2.694153358419769,0.0070567687230798995,0.027711492740291783,3367.0
GSE222756,dorDG_FT_vs_Control,Zfp787,1.0560258783084326,4.861337254492893,1.1659541548655464e-06,1.7302183878375147e-05,891.0
GSE222756,dorDG_FT_vs_Control,Zfp9,-0.4565783637422355,-3.206240962366182,0.0013448132381419578,0.007141012303097577,2490.0
GSE222756,dorDG_FT_vs_Control,Zfp91,0.356290132243848,4.385208769821933,1.1587459171265136e-05,0.00012810149261075886,1196.0
GSE222756,dorDG_FT_vs_Control,Zfp94,-0.6794286304714569,-3.2497501348523965,0.0011550644733729766,0.006323918205771221,2415.0
GSE222756,dorDG_FT_vs_Control,Zfp951,-0.8854266785694304,-2.833992865603941,0.004597035829037645,0.019588143000817192,3103.0
GSE222756,dorDG_FT_vs_Control,Zfp958,-0.644803864815147,-4.481071506844262,7.426922054956359e-06,8.701238790306434e-05,1128.0
GSE222756,dorDG_FT_vs_Control,Zfpm1,1.1133678066686115,3.4161067246918164,0.0006352334566340627,0.0038580876268330625,2177.0
GSE222756,dorDG_FT_vs_Control,Zfpm2,0.5052865258279636,4.272839411236493,1.929994569965922e-05,0.00019951828150187193,1279.0
GSE222756,dorDG_FT_vs_Control,Zfx,0.4430439344940712,3.125731495097984,0.0017736341145279597,0.00900575662914312,2604.0
GSE222756,dorDG_FT_vs_Control,Zfyve19,-0.32997441575814607,-2.6307012394470943,0.008520890565114462,0.03222632009494949,3496.0
GSE222756,dorDG_FT_vs_Control,Zfyve27,0.20563143306641443,2.6267411173626183,0.008620689261961257,0.03249223301643436,3508.0
GSE222756,dorDG_FT_vs_Control,Zgpat,-0.5102651456734434,-3.9766351965461237,6.989726723593713e-05,0.0006048309341580894,1528.0
GSE222756,dorDG_FT_vs_Control,Zhx2,-0.43801318544081286,-2.5763323805477985,0.009985460694704535,0.03662662115862284,3604.0
