dataset,contrast,context,treated,control,program,measured_genes,n_treated,n_control,score_difference,hedges_g,standard_error,p_value,permutations,role,q_global,q_dataset
GSE197622,dorDG_Granule_FT_vs_Sham,dorDG:Granule,FT,Sham,neurogenesis,1190,4,4,-0.18111487705519907,-1.3818486645420829,0.81186543074662,0.11428571428571428,70,cell_type_map,0.24920993227990967,0.4329411764705882
GSE197622,dorDG_Granule_FT_vs_Sham,dorDG:Granule,FT,Sham,neuron_differentiation,959,4,4,-0.19757512316445194,-1.3904309331064983,0.8130855930619794,0.11428571428571428,70,cell_type_map,0.24920993227990967,0.4329411764705882
GSE197622,dorDG_Granule_FT_vs_Sham,dorDG:Granule,FT,Sham,neuron_maturation,43,4,4,-0.28238074426883236,-0.7590753897506364,0.7402812217509573,0.22857142857142856,70,cell_type_map,0.42113662852299216,0.6280602636534839
GSE197622,dorDG_Granule_FT_vs_Sham,dorDG:Granule,FT,Sham,neuronal_survival,170,4,4,-0.19486461808596756,-1.5606069085199892,0.8384258028651232,0.08571428571428572,70,cell_type_map,0.21846965699208443,0.42933333333333334
GSE197622,dorDG_Granule_FT_vs_Sham,dorDG:Granule,FT,Sham,precursor_proliferation,84,4,4,-0.2682600317538457,-3.1399812646913734,1.1496188622978791,0.02857142857142857,70,cell_type_map,0.10298507462686567,0.39999999999999997
GSE197622,dorDG_Granule_FT_vs_Sham,dorDG:Granule,FT,Sham,projection_development,667,4,4,-0.21263190307003002,-1.5126689371014677,0.8310719640556448,0.11428571428571428,70,cell_type_map,0.24920993227990967,0.4329411764705882
GSE197622,dorDG_Granule_FT_vs_Sham,dorDG:Granule,FT,Sham,synapse_organization,376,4,4,-0.2268597349730821,-1.043201195499061,0.768562984530799,0.2,70,cell_type_map,0.3825742574257426,0.6075471698113208
GSE197622,dorDG_Granule_FT_vs_Sham,dorDG:Granule,FT,Sham,synaptic_plasticity,232,4,4,-0.2537221119501693,-1.2841036509249057,0.7983797230599126,0.11428571428571428,70,cell_type_map,0.24920993227990967,0.4329411764705882
GSE197622,dorDG_Granule_FT_vs_Sham,dorDG:Granule,FT,Sham,extent_exclusive,436,4,4,-0.12908529325916016,-1.1173397397288085,0.7771983924100526,0.14285714285714285,70,cell_type_map,0.30131004366812225,0.4842105263157895
GSE197622,dorDG_Granule_FT_vs_Sham,dorDG:Granule,FT,Sham,integration_exclusive,369,4,4,-0.18255357160925806,-1.3568637058405155,0.8083460024553871,0.11428571428571428,70,cell_type_map,0.24920993227990967,0.4329411764705882
GSE197622,dorDG_Granule_FT_vs_Sham,dorDG:Granule,FT,Sham,integration_bias,1574,4,4,-0.03397223055279039,-0.17153211658485631,0.7088384434540356,0.8,70,cell_type_map,0.9099099099099099,1.0
GSE197622,dorDG_Granule_FT_vs_Sham,dorDG:Granule,FT,Sham,exclusive_integration_bias,805,4,4,-0.13754918210037478,-0.2052533216626383,0.7095849095335918,0.8,70,cell_type_map,0.9099099099099099,1.0
GSE197622,dorDG_InhibNeuron_FT_vs_Sham,dorDG:InhibNeuron,FT,Sham,extent_composite,1259,4,3,-0.3163424255185137,-2.5368173959424283,1.107645061998177,0.05714285714285714,35,cell_type_map,0.15637393767705382,0.39999999999999997
GSE197622,dorDG_InhibNeuron_FT_vs_Sham,dorDG:InhibNeuron,FT,Sham,integration_composite,1192,4,3,-0.3440356471514181,-2.559655769299466,1.1128868312025881,0.05714285714285714,35,cell_type_map,0.15637393767705382,0.39999999999999997
GSE197622,dorDG_InhibNeuron_FT_vs_Sham,dorDG:InhibNeuron,FT,Sham,neurogenesis,1245,4,3,-0.3144632482946135,-2.516861000015054,1.103083071519553,0.05714285714285714,35,cell_type_map,0.15637393767705382,0.39999999999999997
GSE197622,dorDG_InhibNeuron_FT_vs_Sham,dorDG:InhibNeuron,FT,Sham,neuron_differentiation,999,4,3,-0.32963770398521963,-2.4418352872814966,1.0860889882300826,0.05714285714285714,35,cell_type_map,0.15637393767705382,0.39999999999999997
GSE197622,dorDG_InhibNeuron_FT_vs_Sham,dorDG:InhibNeuron,FT,Sham,neuron_maturation,42,4,3,-0.6126627242900804,-2.836507411987615,1.1780962452870314,0.02857142857142857,35,cell_type_map,0.10298507462686567,0.39999999999999997
GSE197622,dorDG_InhibNeuron_FT_vs_Sham,dorDG:InhibNeuron,FT,Sham,neuronal_survival,180,4,3,-0.27056579950324916,-3.1278716477794557,1.2496765332803486,0.05714285714285714,35,cell_type_map,0.15637393767705382,0.39999999999999997
GSE197622,dorDG_InhibNeuron_FT_vs_Sham,dorDG:InhibNeuron,FT,Sham,precursor_proliferation,88,4,3,-0.4786074682990465,-2.666499990391225,1.1376974787741132,0.05714285714285714,35,cell_type_map,0.15637393767705382,0.39999999999999997
GSE197622,dorDG_InhibNeuron_FT_vs_Sham,dorDG:InhibNeuron,FT,Sham,projection_development,689,4,3,-0.3146518392863977,-2.2537992281193437,1.044650386206059,0.05714285714285714,35,cell_type_map,0.15637393767705382,0.39999999999999997
GSE197622,dorDG_InhibNeuron_FT_vs_Sham,dorDG:InhibNeuron,FT,Sham,synapse_organization,400,4,3,-0.4367899985239212,-3.116475172164214,1.246826003580664,0.05714285714285714,35,cell_type_map,0.15637393767705382,0.39999999999999997
GSE197622,dorDG_InhibNeuron_FT_vs_Sham,dorDG:InhibNeuron,FT,Sham,synaptic_plasticity,244,4,3,-0.376384361427096,-1.990005276483896,0.9896188323676486,0.05714285714285714,35,cell_type_map,0.15637393767705382,0.39999999999999997
GSE197622,dorDG_InhibNeuron_FT_vs_Sham,dorDG:InhibNeuron,FT,Sham,extent_exclusive,463,4,3,-0.287557098844589,-2.7647231758651407,1.1609060070694424,0.05714285714285714,35,cell_type_map,0.15637393767705382,0.39999999999999997
GSE197622,dorDG_InhibNeuron_FT_vs_Sham,dorDG:InhibNeuron,FT,Sham,integration_exclusive,396,4,3,-0.3660462485902179,-2.7065421041302424,1.1471139217515884,0.05714285714285714,35,cell_type_map,0.15637393767705382,0.39999999999999997
GSE197622,dorDG_InhibNeuron_FT_vs_Sham,dorDG:InhibNeuron,FT,Sham,integration_bias,1655,4,3,-0.003527584671567841,-0.039007277843112545,0.763862219320871,0.9714285714285714,35,cell_type_map,1.0,1.0
GSE197622,dorDG_InhibNeuron_FT_vs_Sham,dorDG:InhibNeuron,FT,Sham,exclusive_integration_bias,859,4,3,0.00762691584967697,0.029086553158547895,0.7638179993236595,1.0,35,cell_type_map,1.0,1.0
GSE197622,dorDG_Microglia1_FT_vs_Sham,dorDG:Microglia1,FT,Sham,extent_composite,1191,3,5,-0.011396396578672495,-0.07541799118085954,0.7306211896617926,0.9464285714285714,56,cell_type_map,0.9883783783783784,1.0
GSE197622,dorDG_Microglia1_FT_vs_Sham,dorDG:Microglia1,FT,Sham,integration_composite,1123,3,5,-0.05715430622277661,-0.37817493712073874,0.7384113737762911,0.6428571428571429,56,cell_type_map,0.8203434610303831,0.9708879184861718
GSE197622,dorDG_Microglia1_FT_vs_Sham,dorDG:Microglia1,FT,Sham,neurogenesis,1176,3,5,-0.009564507003578906,-0.06248332735446172,0.7305194593687703,0.9464285714285714,56,cell_type_map,0.9883783783783784,1.0
GSE197622,dorDG_Microglia1_FT_vs_Sham,dorDG:Microglia1,FT,Sham,neuron_differentiation,944,3,5,-0.027808463119215664,-0.18296875841514548,0.7322042956349899,0.875,56,cell_type_map,0.9540067720090294,1.0
GSE197622,dorDG_Microglia1_FT_vs_Sham,dorDG:Microglia1,FT,Sham,neuron_maturation,44,3,5,-0.2801267506774687,-1.4583093887919383,0.8429445549895673,0.05357142857142857,56,cell_type_map,0.15637393767705382,0.39999999999999997
GSE197622,dorDG_Microglia1_FT_vs_Sham,dorDG:Microglia1,FT,Sham,neuronal_survival,170,3,5,0.039641639690713035,0.2648975580203452,0.7342893796184365,0.7142857142857143,56,cell_type_map,0.8625,0.9787234042553191
